random
1.0,234567.0
2.0,356742.0
3.0,576234.0
4.0,465732.0
5.0,764235.0
6.0,543267.0
7.0,342675.0
8.0,572643.0
9.0,765432.0
10.0,574632.0
11.0,246357.0
12.0,273654.0
13.0,123456.0
14.0,186432.0
15.0,641382.0
16.0,864251.0
17.0,715342.0



KODEGRAFIK
1.0,UNDERSHIFT
2.0,UPPERSHIFT
3.0,TIGHT
4.0,OK
KODEGRAFIK,name,mean
111,undershift," memerlukan pertolongan dari seorang profesional.
Ia ingin mengatakan, ""Saya sedang merasa tidak baik.""
Umumnya muncul sebagai hasil dari ""over promoted"" atau seseorang yang merasa tidak akan pernah naik tingkat/jabatan dalam bekerja.
Bisa juga disebabkan ia sedang dalam keadaan demotivasi atau ingin keluar dari pekerjaannya saat ini."
112,INVALID," menghasilkan data invalid. Ada beberapa kemungkinan; tidak memahami kata-kata yang dimaksud, tidak menyelesaikan jawaban seluruhnya, mencoba mengakali alat tes ini."
113,tight3," saat ini Ia ingin mengatakan, ""Saya rasa saya bisa mengerjakan lebih atau saya memberikan kontribusi lebih daripada sekarang, namun situasi sekarang tidak memungkinkan untuk melakukan hal tersebut""."
114,INVALID," menghasilkan data invalid. Ada beberapa kemungkinan; tidak memahami kata-kata yang dimaksud, tidak menyelesaikan jawaban seluruhnya, mencoba mengakali alat tes ini."
121,undershift," saat ini ia sedang tidak termotivasi untuk bekerja, bisa juga disebabkan karena dirinya telah lama tidak dipromosikan ke tempat yang lebih tinggi, atau bisa juga dirinya ""over promoted"""
122,undershift," saat ini ia sedang tidak termotivasi untuk bekerja, bisa juga disebabkan karena dirinya telah lama tidak dipromosikan ke tempat yang lebih tinggi, atau bisa juga dirinya ""over promoted"""
123,INVALID," menghasilkan data invalid. Ada beberapa kemungkinan; tidak memahami kata-kata yang dimaksud, tidak menyelesaikan jawaban seluruhnya, mencoba mengakali alat tes ini."
124,INVALID," menghasilkan data invalid. Ada beberapa kemungkinan; tidak memahami kata-kata yang dimaksud, tidak menyelesaikan jawaban seluruhnya, mencoba mengakali alat tes ini."
131,tight2," merasa dirinya saat ini sedang berada dalam kondisi penuh tekanan.
Terkadang juga profil seperti ini mengindikasikan sedang mengalami masalah pribadi atau masalah finansial, ia harus segera diprobing melalui wawancara mendalam."
132,tight2," merasa dirinya saat ini sedang berada dalam kondisi penuh tekanan.
Terkadang juga profil seperti ini mengindikasikan sedang mengalami masalah pribadi atau masalah finansial, ia harus segera diprobing melalui wawancara mendalam."
133,tight2," merasa dirinya saat ini sedang berada dalam kondisi penuh tekanan.
Terkadang juga profil seperti ini mengindikasikan sedang mengalami masalah pribadi atau masalah finansial, ia harus segera diprobing melalui wawancara mendalam."
134,tight2," merasa dirinya saat ini sedang berada dalam kondisi penuh tekanan.
Terkadang juga profil seperti ini mengindikasikan sedang mengalami masalah pribadi atau masalah finansial, ia harus segera diprobing melalui wawancara mendalam."
141,down," saat ini ia sedang tidak termotivasi untuk bekerja, bisa juga disebabkan karena dirinya telah lama tidak dipromosikan ke tempat yang lebih tinggi, atau bisa juga dirinya ""over promoted"""
142,down," saat ini ia sedang tidak termotivasi untuk bekerja, bisa juga disebabkan karena dirinya telah lama tidak dipromosikan ke tempat yang lebih tinggi, atau bisa juga dirinya ""over promoted"""
143,tight," saat ini Ia sedang mengalami tekanan untuk menyelesaikan berbagai macam tugas dengan berbagai macam peran.
Bisa juga ia memiliki banyak atasan, atau memiliki atasan yang sangat otoriter."
144,down," saat ini ia sedang tidak termotivasi untuk bekerja, bisa juga disebabkan karena dirinya telah lama tidak dipromosikan ke tempat yang lebih tinggi, atau bisa juga dirinya ""over promoted"""
211,overshift1," terindikasi bahwa dirinya berusaha untuk mencapai semua tuntutan tugas yang diberikan kepadanya, ia berusaha menjadi seorang yang mampu bekerja dalam segala hal.
Seringkali profil ini muncul apabila sesorang sedang mengalami ""over promoted"", atau baru ditunjuk untuk menempati tempat kerja yang baru.
Atau bisa juga menunjukkan situasi kerja yang berlebih (become overloaded)."
212,overshift1," terindikasi bahwa dirinya berusaha untuk mencapai semua tuntutan tugas yang diberikan kepadanya, ia berusaha menjadi seorang yang mampu bekerja dalam segala hal.
Seringkali profil ini muncul apabila sesorang sedang mengalami ""over promoted"", atau baru ditunjuk untuk menempati tempat kerja yang baru.
Atau bisa juga menunjukkan situasi kerja yang berlebih (become overloaded)."
213,INVALID," saat ini Ia sedang mengalami tekanan untuk menyelesaikan berbagai macam tugas dengan berbagai macam peran.
Bisa juga ia memiliki banyak atasan, atau memiliki atasan yang sangat otoriter."
